"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.15,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.237,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.178,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.569,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.801,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.499,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.302,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.264,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.212,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.182,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",,"M"
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",,"M"
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",,"M"
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",,"M"
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",,"M"
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.994,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.072,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.981,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.978,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.865,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",4.116,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",4.125,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",4.12,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",4.095,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.171,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.202,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.164,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.13,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.969,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.936,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.143,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.418,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.343,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.242,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.238,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.153,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.119,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.169,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.356,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.485,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.281,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",2.506,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",2.45,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.471,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.504,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.442,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.409,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.424,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.921,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",4.265,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",4.034,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",4.506,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",4.553,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",4.134,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.513,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.446,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.674,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.449,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.668,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.568,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.89,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.929,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.88,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.912,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.897,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.915,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.97,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",3.808,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.529,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.505,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",3.635,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",3.593,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",3.467,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.447,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",3.433,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.436,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.398,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",,"M"
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",2.816,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.644,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",,"M"
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",2.889,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.779,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.708,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.691,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.668,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.608,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.722,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.215,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",2.918,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",2.855,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",2.737,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",2.527,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.434,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",2.311,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.691,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.674,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",4.491,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",5.031,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",4.649,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",4.653,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",4.473,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",4.526,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.407,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2013",4.349,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.462,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.376,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2000",2.725,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2005",3.139,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2008",3.862,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2009",4.302,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2010",4.27,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2011",4.14,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.128,
