"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","TOT","MEANSCORE","A","2003",524,
"AUS","PISAMATH","TOT","MEANSCORE","A","2006",520,
"AUS","PISAMATH","TOT","MEANSCORE","A","2009",514,
"AUS","PISAMATH","TOT","MEANSCORE","A","2012",504,
"AUS","PISAMATH","TOT","MEANSCORE","A","2015",494,
"AUS","PISAMATH","TOT","MEANSCORE","A","2018",491,
"AUT","PISAMATH","TOT","MEANSCORE","A","2003",506,
"AUT","PISAMATH","TOT","MEANSCORE","A","2006",505,
"AUT","PISAMATH","TOT","MEANSCORE","A","2012",506,
"AUT","PISAMATH","TOT","MEANSCORE","A","2015",497,
"AUT","PISAMATH","TOT","MEANSCORE","A","2018",499,
"BEL","PISAMATH","TOT","MEANSCORE","A","2003",529,
"BEL","PISAMATH","TOT","MEANSCORE","A","2006",520,
"BEL","PISAMATH","TOT","MEANSCORE","A","2009",515,
"BEL","PISAMATH","TOT","MEANSCORE","A","2012",515,
"BEL","PISAMATH","TOT","MEANSCORE","A","2015",507,
"BEL","PISAMATH","TOT","MEANSCORE","A","2018",508,
"CAN","PISAMATH","TOT","MEANSCORE","A","2003",532,
"CAN","PISAMATH","TOT","MEANSCORE","A","2006",527,
"CAN","PISAMATH","TOT","MEANSCORE","A","2009",527,
"CAN","PISAMATH","TOT","MEANSCORE","A","2012",518,
"CAN","PISAMATH","TOT","MEANSCORE","A","2015",516,
"CAN","PISAMATH","TOT","MEANSCORE","A","2018",512,
"CZE","PISAMATH","TOT","MEANSCORE","A","2003",516,
"CZE","PISAMATH","TOT","MEANSCORE","A","2006",510,
"CZE","PISAMATH","TOT","MEANSCORE","A","2009",493,
"CZE","PISAMATH","TOT","MEANSCORE","A","2012",499,
"CZE","PISAMATH","TOT","MEANSCORE","A","2015",492,
"CZE","PISAMATH","TOT","MEANSCORE","A","2018",499,
"DNK","PISAMATH","TOT","MEANSCORE","A","2003",514,
"DNK","PISAMATH","TOT","MEANSCORE","A","2006",513,
"DNK","PISAMATH","TOT","MEANSCORE","A","2009",503,
"DNK","PISAMATH","TOT","MEANSCORE","A","2012",500,
"DNK","PISAMATH","TOT","MEANSCORE","A","2015",511,
"DNK","PISAMATH","TOT","MEANSCORE","A","2018",509,
"FIN","PISAMATH","TOT","MEANSCORE","A","2003",544,
"FIN","PISAMATH","TOT","MEANSCORE","A","2006",548,
"FIN","PISAMATH","TOT","MEANSCORE","A","2009",541,
"FIN","PISAMATH","TOT","MEANSCORE","A","2012",519,
"FIN","PISAMATH","TOT","MEANSCORE","A","2015",511,
"FIN","PISAMATH","TOT","MEANSCORE","A","2018",507,
